モジュール,DSC,,,,,,,,
チャンネル,DSC7020,,,,,,,,
データ名,Ni_5Kpm_7.7mg_20241108,,,,,,,,
測定日時,2024/11/08 14:48:32,,,,,,,,
サンプル名,Ni,,,,,,,,
サンプル質量,7.7,mg,,,,,,,
リファレンス名,Al pan,,,,,,,,
リファレンス質量,22.9,mg,,,,,,,
温度プログラム,,Cel,Cel,Cel/min,min,s,ガス１,ガス２,ストアー
,1,317,377,5,3,0.2,On,Off,On
,2,377,317,5,3,0.2,On,Off,On
,温度プログラムモード,ランプ,,,,,,,
,冷却ユニット,全自動ガス冷却,,,,,,,
オペレータ名,伊藤,,,,,,,,
組織名,,,,,,,,,
コメント,オペレータ: 伊藤,,,,,,,,
,ガス1: N2,,,,,,,,
,パン: Al,,,,,,,,
,,,,,,,,,
,,,,,,,,,
面積,,,,,,,,,
Ni_5Kpm_7.7mg_20241108  DSC,,,,,,,,,
No.,DeltaH,,,,,,,,
,mJ/mg,,,,,,,,
1,0.406088363,,,,,,,,
2,-0.388923578,,,,,,,,
,,,,,,,,,
Time,Temp.,DSC,DDSC,,,,,,
0.76,315.3173218,-513.6882324,299.699707,,,,,,
0.763333333,315.3320618,-514.6712646,296.2456055,,,,,,
0.766666667,315.3468323,-515.6419678,292.9907227,,,,,,
0.77,315.3616028,-516.5987549,289.7607422,,,,,,
0.773333333,315.3764038,-517.5482178,286.7226563,,,,,,
0.776666667,315.3912354,-518.4995117,284.0419922,,,,,,
0.78,315.4060974,-519.4512939,281.4506836,,,,,,
0.783333333,315.4209595,-520.4001465,278.7348633,,,,,,
0.786666667,315.4358826,-521.3498535,276.0292969,,,,,,
0.79,315.4508057,-522.2845459,273.2958984,,,,,,
0.793333333,315.4656982,-523.1949463,270.5039063,,,,,,
0.796666667,315.4806824,-524.0863037,267.6474609,,,,,,
0.8,315.495636,-524.9605713,264.7822266,,,,,,
0.803333333,315.5106201,-525.8234863,262.0224609,,,,,,
0.806666667,315.5256348,-526.6729736,259.3652344,,,,,,
0.81,315.5406189,-527.5134277,256.5908203,,,,,,
0.813333333,315.5556335,-528.3581543,253.6523438,,,,,,
0.816666667,315.5706787,-529.2191162,250.7563477,,,,,,
0.82,315.5857544,-530.0699463,247.9262695,,,,,,
0.823333333,315.6008301,-530.8963623,244.9863281,,,,,,
0.826666667,315.6159363,-531.7158203,241.8706055,,,,,,
0.83,315.631073,-532.5321045,238.6640625,,,,,,
0.833333333,315.6462097,-533.3286133,235.6435547,,,,,,
0.836666667,315.661377,-534.104126,232.8544922,,,,,,
0.84,315.6765442,-534.8710938,230.2602539,,,,,,
0.843333333,315.6917419,-535.6365967,227.8388672,,,,,,
0.846666667,315.7069397,-536.3959961,225.5024414,,,,,,
