モジュール,DSC,,,,,,,,
チャンネル,DSC7020,,,,,,,,
データ名,BTO_5Kpm_9mg_20241115_2,,,,,,,,
測定日時,2024/11/15 15:21:14,,,,,,,,
サンプル名,BTO,,,,,,,,
サンプル質量,9,mg,,,,,,,
リファレンス名,Al pan,,,,,,,,
リファレンス質量,22.9,mg,,,,,,,
温度プログラム,,Cel,Cel,Cel/min,min,s,ガス１,ガス２,ストアー
,1,107,147,5,3,0.2,On,Off,On
,2,147,107,5,5,0.2,On,Off,On
,温度プログラムモード,ランプ,,,,,,,
,冷却ユニット,全自動ガス冷却,,,,,,,
オペレータ名,伊藤,,,,,,,,
組織名,,,,,,,,,
コメント,オペレータ: 伊藤,,,,,,,,
,ガス1: N2,,,,,,,,
,パン: Al,,,,,,,,
,,,,,,,,,
,,,,,,,,,
面積,,,,,,,,,
BTO_5Kpm_9mg_20241115_2  DSC,,,,,,,,,
No.,DeltaH,,,,,,,,
,mJ/mg,,,,,,,,
1,-0.970383861,,,,,,,,
2,0.840006949,,,,,,,,
,,,,,,,,,
Time,Temp.,DSC,DDSC,,,,,,
1.176666667,107.2210693,-499.7910767,109.8295898,,,,,,
1.18,107.2369995,-500.1537476,108.7565918,,,,,,
1.183333333,107.2529221,-500.5211182,107.8051758,,,,,,
1.186666667,107.2688522,-500.8912354,106.9321289,,,,,,
1.19,107.2847824,-501.2610474,105.9916992,,,,,,
1.193333333,107.300705,-501.6315918,104.8740234,,,,,,
1.196666667,107.3166656,-501.9815063,103.8552246,,,,,,
1.2,107.3326187,-502.3157959,102.932373,,,,,,
1.203333333,107.3485489,-502.6473389,101.8352051,,,,,,
1.206666667,107.3645096,-502.9859619,100.6801758,,,,,,
1.21,107.3804932,-503.3256836,99.59619141,,,,,,
1.213333333,107.3964844,-503.6507568,98.63964844,,,,,,
1.216666667,107.412468,-503.9708252,97.79736328,,,,,,
1.22,107.4284592,-504.2839355,96.94775391,,,,,,
1.223333333,107.4444733,-504.5987549,96.1003418,,,,,,
1.226666667,107.460495,-504.923645,95.2668457,,,,,,
1.23,107.4765091,-505.25177,94.4934082,,,,,,
1.233333333,107.4925308,-505.564209,93.53613281,,,,,,
