モジュール,DSC,,,,,,,,
チャンネル,DSC7020,,,,,,,,
データ名,TGS_5Kpm_9.2mg_20241115,,,,,,,,
測定日時,2024/11/15 14:19:48,,,,,,,,
サンプル名,TGS,,,,,,,,
サンプル質量,9.2,mg,,,,,,,
リファレンス名,Al pan,,,,,,,,
リファレンス質量,22.9,mg,,,,,,,
温度プログラム,,Cel,Cel,Cel/min,min,s,ガス１,ガス２,ストアー
,1,-13,72,5,3,0.2,On,Off,On
,2,72,-13,5,5,0.2,On,Off,On
,温度プログラムモード,ランプ,,,,,,,
,冷却ユニット,全自動ガス冷却,,,,,,,
オペレータ名,伊藤,,,,,,,,
組織名,,,,,,,,,
コメント,オペレータ: 伊藤,,,,,,,,
,ガス1: N2,,,,,,,,
,パン: Al,,,,,,,,
,,,,,,,,,
,,,,,,,,,
面積,,,,,,,,,
TGS_5Kpm_9.2mg_20241115  DSC,,,,,,,,,
No.,DeltaH,,,,,,,,
,mJ/mg,,,,,,,,
1,-1.266645444,,,,,,,,
2,1.004942504,,,,,,,,
,,,,,,,,,
Time,Temp.,DSC,DDSC,,,,,,
0.983333333,-12.64729214,-815.6099243,385.7299805,,,,,,
0.986666667,-12.62884331,-816.8640137,379.6413574,,,,,,
0.99,-12.61039448,-818.0749512,373.7351074,,,,,,
0.993333333,-12.59191418,-819.25354,368.0742188,,,,,,
0.996666667,-12.57344913,-820.4187012,362.3312988,,,,,,
1,-12.55496788,-821.5574951,356.2902832,,,,,,
1.003333333,-12.53648758,-822.7105103,350.0581055,,,,,,
1.006666667,-12.51801491,-823.8922119,344.0383301,,,,,,
1.01,-12.49961567,-825.0524902,338.690918,,,,,,
1.013333333,-12.48118401,-826.2095337,333.6262207,,,,,,
1.016666667,-12.46272087,-827.3484497,328.8024902,,,,,,
1.02,-12.44422626,-828.4372559,324.9829102,,,,,,
1.023333333,-12.42571545,-829.5036621,321.1237793,,,,,,
1.026666667,-12.40722084,-830.5684204,317.0222168,,,,,,
1.03,-12.38869476,-831.6183472,313.0378418,,,,,,
1.033333333,-12.37015247,-832.6528931,309.4350586,,,,,,
1.036666667,-12.35161018,-833.6693726,305.9677734,,,,,,
1.04,-12.33303642,-834.6400146,302.625,,,,,,
1.043333333,-12.31447792,-835.5769653,299.2653809,,,,,,
1.046666667,-12.29592037,-836.5083008,295.2963867,,,,,,
1.05,-12.27731419,-837.4646606,291.2233887,,,,,,
1.053333333,-12.25870895,-838.437561,287.2939453,,,,,,
1.056666667,-12.24005604,-839.3935547,283.1081543,,,,,,
1.06,-12.22143459,-840.3322144,279.0996094,,,,,,
1.063333333,-12.20281315,-841.2720337,275.3525391,,,,,,
1.066666667,-12.18416023,-842.2006226,271.6589355,,,,,,
1.07,-12.1654911,-843.1127319,267.956543,,,,,,
1.073333333,-12.14683819,-844.0081177,264.3237305,,,,,,
1.076666667,-12.1281538,-844.8951416,260.5561523,,,,,,
1.08,-12.10946846,-845.7741089,257.010498,,,,,,
1.083333333,-12.09076786,-846.6407471,254.0478516,,,,,,
1.086666667,-12.07201958,-847.489624,251.2653809,,,,,,
1.09,-12.05330372,-848.3274536,248.1569824,,,,,,
1.093333333,-12.03457165,-849.1591187,244.5761719,,,,,,
1.096666667,-12.01580715,-849.9775391,240.8547363,,,,,,
1.1,-11.99704361,-850.7701416,237.2937012,,,,,,
1.103333333,-11.97828007,-851.5377197,233.4873047,,,,,,
1.106666667,-11.95951557,-852.2964478,229.720459,,,,,,
1.11,-11.94072056,-853.0514526,225.8979492,,,,,,
1.113333333,-11.92189312,-853.7969971,222.0622559,,,,,,
1.116666667,-11.90306568,-854.524231,218.2595215,,,,,,
1.12,-11.88423824,-855.2286987,214.4765625,,,,,,
1.123333333,-11.86542702,-855.9293213,210.6943359,,,,,,
1.126666667,-11.84661579,-856.6326904,207.0820313,,,,,,
1.13,-11.82778835,-857.322937,203.6499023,,,,,,
1.133333333,-11.80894566,-857.9988403,200.1174316,,,,,,
1.136666667,-11.79011822,-858.6635132,196.5358887,,,,,,
1.14,-11.77129078,-859.3134766,193.0480957,,,,,,
1.143333333,-11.75243187,-859.9470215,189.7419434,,,,,,
1.146666667,-11.73357296,-860.5726929,186.6115723,,,,,,
1.15,-11.71469784,-861.1852417,183.4240723,,,,,,
1.153333333,-11.69583893,-861.7775269,180.0966797,,,,,,
1.156666667,-11.67696476,-862.3544922,176.7341309,,,,,,
1.16,-11.65808964,-862.9259033,173.4250488,,,,,,
1.163333333,-11.63919926,-863.4891357,170.1679688,,,,,,
1.166666667,-11.62030888,-864.045166,166.9628906,,,,,,
1.17,-11.60141754,-864.6032715,163.7768555,,,,,,
1.173333333,-11.5825119,-865.1525269,160.7277832,,,,,,
1.176666667,-11.5635891,-865.6858521,157.748291,,,,,,
1.18,-11.54469872,-866.2087402,154.833252,,,,,,
1.183333333,-11.52579212,-866.7175293,152.1650391,,,,,,
1.186666667,-11.50690174,-867.2181396,149.6228027,,,,,,
1.19,-11.48801136,-867.7163086,146.9912109,,,,,,
1.193333333,-11.46910477,-868.1991577,144.3244629,,,,,,
